address,spx
0xaf06ff6243d166d20438d31b294b421c19994899,12416129.54684057
0x6b411100c72ba2445e50ffd20839c28b3546de7c,10783180.62977608
0x55d578950d3f21364537cd561149313627054e8c,7600000
0x85dead62a85cff13fdbe8dc1005f4593f578598b,5000900.81786
0x126d1a4bace22ee686c8e36d2b309a28671e2ffa,5000000.4415212
0x74f885f49020551a73669ae248fed5a1f346b124,4631045.51701069
0x545acad5506cfc873649f30c80cad12e96cd2d81,3806045.5572438
0xe0f693f4dc486fbe734e3afff5fe03fba08a64f3,3698185.31316499
0x90be4e1da4bb2f464576749abac99774148bc9a2,3500000
0x301f742573c76ee107cb8e263f2d5c009ecbfb28,3061423.63758181
0x97d5ee644057451be47caf737d444010ffc168be,2941619.48967461
0x9ab9ced0a8963b45ad10076566f237cee1cf1e47,2764314.35631279
0x74e84956df8af8354e82031de46eeddf99018d30,2524608.93885995
0x932bdd2d5e21475e62d2fea8158fc5974507cb1a,1910911.88978171
0xf634126ca98d70d0a77b8efc9645e9c0a6a85987,1800814.60269573
0xa64710f7077d8e81b12c437be8941aaad638b6d2,1672531.14865656
0x20db55f5345386726af47802f5b8ce5b4ddf34c7,1580529.84903197
0xcb2bf61f9c74bd8e8bd649a3dafaac16ea44eaba,1550895.43167156
0xdb22ca143f6396ad289c79cdfa5cc47f65884162,1500679.84812713
0x50b0c2fb15bfb6b35b6505c010be2512cef310b8,1344956.64586953
0xc8aae71823e285af191c2e0d405f26348af2bbbc,1221159.30531921
0xf2a2cdc1b60736e7d3e71c6c52c5adde71b63d58,1063957.43910031
0xbb020fa1a2bd3c5d1e568b988d2885becdc3ab6c,1043360.88392903
0x94959ef625a14c67ddebddc22a3d2f6de9e30b5f,1023731.0169
0xf7d7bfa5f536f36aa9a1c7173d88e6ff2e45398a,998410.00108395
0xd63df6d7492b2fa5f0cb7a5100dad7e195db2510,976000.04174861
0x68667f9b371742fc25735727a220d044f685326a,975000
0x310f0a2fb4e5fdaf19ebec249405bcc9e8379d37,750000
0x4350b4d00a63efa8b911d82dd8222ef2a368795c,720000
0x5d0579e2abf19445950600f4847fcf8a564abc29,620000.00462556
0x048b465b78fca66982d1a0005d90a924e9c2667d,587670.84816386
0xeedb1f57ee95bd9845e7bcd9c6b14c61f8eaba10,587199.9995884
0x7a7ff03d853993a5cab814dfc0a52728ebc36034,549744.32500054
0x42b21a5285424b0547f4e2c61d937ea1b19f0c5b,548537.72241195
0x49ffe4429610efa450b0654ea9a20e0eb4960920,541725.81583534
0x369e330eadd29a3f48663b38b1607b27b9e5dfeb,499999.99545301
0x99882462925c18e4b7eee7287e21f343a6d201b0,450000
0x76518ee1387670a77396e98867b874c4f95db94a,407780.63629169
0x8413f65e93d31f52706c301bcc86e0727fd7c025,390931.71971422
0x86567611b3b1d1e61581e73f3a97fc4106016497,375000
0x15eafc29816b34fb8b15dc6727a26de4c4cb2df0,350000
0x67ab3f037c04ca964b6f8cfb4c2a069407150a3e,333334.00467781
0x9eccbfea2894cf722cd8f7d309069591b850651b,300565.29867714
0xe4a448e13ba06786666ea1b4c8925e616efa6bbe,292644.79463841
0xb579393c53b1235ac7345e9438060cce36a9838d,260982.16564665
0x25afb26fed226c69c7a1d3325a51e87b1993d9f9,225000.80109956
0xba4b72db053f4d7f682389660c9c05363c18b7cc,218046.99040035
0x3a6ab0bd69796c7796bd2917884980883429ae02,212772.71874884
0x7079bfcd09ac050d3c8ca5d230336505bf5beb8a,200000
0xe931256bd7845dbe5f9df0a300696b7a0c0049de,170975.02937535
0x8dff15bb411cb9887ff0212da719b8a7ef4e8379,156215.13624979
0xc0e226f47072d2a887825dee1a6bf28f9155f8b8,156130.73097685
0x04f4844b5502fd9faac945e7cc2b369c7e675e24,152537.70065097
0x4bede6f67be997ae703e6fa1abb9579cf5fdacac,140000.72874796
0x3e50b7943586eb440c7e944ca9d173bca06d3dac,134921.04405843
0xe73bf5285365e42c18b8e20fa244f2f866cfc901,133725.0156519
0x104bb253d3bbe8c1b100d92e1f955db314f6ad11,127668.11519864
0xb4d1e110061671a2dc94ae93d4eb859ed668d7b5,120335.40741575
0xf3d9281fa183b74f32b96e1c5244596045f4ede8,118879.108926
0xc7548efc82dc67efd2e8a584123903777f1bef58,113680.55201671
0x5480dc9f9aa03f57f7da6ac8321819e5973ba5cc,112633.75607193
0x514c9c0f1bc120f57183bfe4ae092ff0be13a31f,110155.31596851
0xfee68d6314780974b77c721919755e71673c6e70,107500.00000001
0xbe3d7a861a275bac39405ddd5509a7e0184552e2,106416.53448179
0x9f800c628605e432eeb2111e220262caa518f732,104094.54020633
0xc3288a0cb7816674324268a56543f7a6a499c2bb,103569
0xc2079e5b077eae969dbeca3747bb855ae9df8f3f,101000.0009872
0xd85944a1cfb14c5a3a1ba581c95c3c756aaf6b36,100735.14368944
0x1d8660b15d8c644656f68d91b385306d79baf75f,100001.17685495
0xc7bbc5ab2dcc58f62cfef6ec7968f3507dde62e9,100000.0004
0x7a55ccdf42bedd9b836045c2a15cfd913bfbb503,100000
0x4ff2abee679d190e47f5eba636e2697e748831c7,100000
0x6de8dd307f540180a3eefaeadbbff9d5b0904bf0,99999.99981454
0xee8311fe397e2464f78b3732e74dcd65087e7187,99903.14426165
0x00098ff81bcc335d963c1019c963c6639cdac610,99168.01280475
0x27a95f87ae604e5a223e30698e7f7c1c2ba39aeb,97822.51832148
0xb7433a101d74393a817abe83eb74d175fda6f3de,95869.96241671
0x2964d617fd62994a65102c82dde82ae46d7503ff,92223
0xdb882c5bf8bd9b32532ed6cee18e9056f3b4a574,91374.18180641
0x3a3c34ab906b5c0b1cf34dca3965e54bd2c43050,91077.02996627
0x46767c8c02d36ade528cad6a1bfb4d62ff66a1f1,90000.66127051
0xb830777441a8d8a7185fd2491ee6c66e79b7ad48,85670.32396685
0xe09d3fb96691a5ca9d754db978677b970be3a231,85511.74155392
0x13b6d489b58c0bdd376a5fdf0913ff41263537d1,84850.42982815
0xb2ce5a9b147ba6d2a2d95c9be07e0458a9820928,83746.7564
0x702f18d5541d12fcee217a0891ca90a9c24ed80c,79603.46265522
0xc06c49e35cd2fa0623497bd93239449088690c30,75508.97976552
0x8908f3b4e7ad10355af0834b63fa73e7426c5149,75356.42874829
0xb836f786dd6690d896e95a27ae5490fe93fefcff,74242.41630409
0x493210103ace77acd645dfb0c616d20cab83e947,71266.7530331
0x850596444bb1921ef60e647f0951f766c6359c83,70011.80893608
0x60af1c4d843093b8196d1ada2aee77664ac8b4b2,70000.03329178
0x8d64898e2f89e3ca1fcd5684882812eb4960c985,69420
0xe5443bfe9a0b4c67c80aea056cfbd76018739654,69000
0xc2abd43e2d24642a03267c5690e1916547d67912,67880.16815713
0xcef9b5c629664b415dc8d456b5f139154f8d8f0c,66555.18691132
