owner,balance,day
0x9ab9ced0a8963b45ad10076566f237cee1cf1e47,9225339.51,2026-08-03
0x69ce750905025684818855e54bfaf3022512b0e3,1685539.38,2026-08-03
0xe96a4e9ea3a2c6db214174738a19eb7dbb8a3069,766084.46,2026-08-03
0x66e4e30cf1eb6155c1bf0422879a470e582f3a50,466113.49,2026-08-03
0xe0f693f4dc486fbe734e3afff5fe03fba08a64f3,461642.00,2026-08-03
0x037818b04ac34ea8b54b6683b79ef24d23c0e7cb,396054.51,2026-08-03
0xce37eb4275fa2ffaba1fe447da593dfd3ed8f17b,369093.41,2026-08-03
0x493210103ace77acd645dfb0c616d20cab83e947,334711.85,2026-08-03
0xd9cf0cb347646aaa92e1c2f9ec5a9e977f465635,287680.74,2026-08-03
0x20b95125f3c5e487c9cad47107431c2089355b17,273066.36,2026-08-03
0x2b3b161dbb848d671ca152cb5c2692c0eb7b62ec,264721.40,2026-08-03
0x53a32fb324701cc18b42c89c614bc6d835823032,264636.19,2026-08-03
0x1fcaca7addd04d577074ea4c144d73339a333d9d,250540.61,2026-08-03
0xedbf3aad0743b07e2ec7b34d6e809bfa7abf2ef5,241957.79,2026-08-03
0x4ba1e3e9280facbacafa7baf4ae0b78bea60beca,215618.13,2026-08-03
0x285e9d3f467a2308ea7f54d678296215b3050a5b,209789.52,2026-08-03
0xb1706ce631b54a5225f596af9c36c467e2e6c9d3,209715.27,2026-08-03
0x483b20d409620fc6f3c01a718317085363d9bf87,205413.49,2026-08-03
0x362356e57638d8d9a623693b141e7e7c9e5002a4,194970.90,2026-08-03
0xc7d1bf2c6977729872a0e1e23a0bcb608dcde47b,177585.80,2026-08-03
0x8a33c4eb24323f31e3979f1df4c5e29dd5f10054,172500.48,2026-08-03
0x076c5e04d553fffa8f388a547cecd5cc86f4da49,170000.00,2026-08-03
0xbf06fb9a3f76706be292fdb4c8d8ed3c8c6ae0bf,169829.75,2026-08-03
0x0481272c623510a3e4d638152f93b20d5e43b94f,157462.46,2026-08-03
0x6fb3fdd2691756fab05aa1fba99547b2da519715,157415.34,2026-08-03
0x106d425dde11ba8f84dd3824e014e9e1d81fd0c9,132789.53,2026-08-03
0xd037b8e1a676da6642aa2c3db1fb013dae2155e2,131458.65,2026-08-03
0x3518ea651187b79f9531f879495b10c11dd4744f,126297.86,2026-08-03
0x0239f60a1c4a9298c654cea0309aa36cbb2495cf,112844.39,2026-08-03
0x99f139ceff863cde6f33ef76b8dbe9f6d0c96782,112177.88,2026-08-03
0xa486a27b7834b15513278a9d4f93933a8af52880,106804.03,2026-08-03
0x4446adc0b8136ffc55ddb7a488ba5509ace2a5ef,104475.51,2026-08-03
0x6431ed4f254d35d58f74260d8fbe8decd4223071,102363.97,2026-08-03
0x416ec2ca21a38cbcfeacd6a14532b3f348356d23,99288.86,2026-08-03
0x01f81a050e0bf7a0e637b67701d385d8d37aa828,98347.57,2026-08-03
0xa24f717205ff334bd564a00524264db0e9ab1168,94943.58,2026-08-03
0xb7131fc8cdc43060a6210257f537dba5fcae6aed,94072.15,2026-08-03
0x8dcbd7bdc9b893efe3e6687f643e536d3d32581e,91568.41,2026-08-03
0x3c4205b8df66e21dfb6ff51f9ddfeaacba422cfe,91034.52,2026-08-03
0x018f3bb55b9934af33f6107a55cc8fa2207ea1d0,90000.00,2026-08-03
0xb9a450426388561f5290c60e7794dc0fadb2d13e,85774.75,2026-08-03
0x6e7307b4a21dc776320fed3c76329ae657ec847b,84329.70,2026-08-03
0xba9c54b1aa4058fdc38c3f4f7ce150e058d319ba,82659.13,2026-08-03
0xa2b16ec88c0ea6825aaa6ea7b0fb0bc2dcbaf0f0,82143.19,2026-08-03
0x3e720f0c96f9e06134073c8a5675055f493876d4,80404.98,2026-08-03
0xdfe326c3aab4f525e1eabeb5b5cc725ddc9941ef,80275.02,2026-08-03
0xa836296820f89662f5487474000d4050265373e3,80133.05,2026-08-03
0x83190636c344cf1220ffcbfc0c1198f7867b3667,77697.91,2026-08-03
0x235fa68a2ecff3b8e3060f28179fb48a441f10b0,76647.68,2026-08-03
0xed75be9efc3ee9b1f32bc8f34982651f5ae58c4a,76606.57,2026-08-03
0x6d3b2f03184e73e94d6253a956d6d10eaa1d09dd,76363.15,2026-08-03
0x6eb141e5605e6c7e9efc498b6e6a8c3f57ce8d43,75524.94,2026-08-03
0x5a169ab9685ed24ad57fb5090a366ad1ddb3aaa5,75141.71,2026-08-03
0x31212f968080d7eba3b654ce9e6fa0f404251064,75094.70,2026-08-03
0x7dd225801e1b57fa94dd9314af0dd9b3944775a5,75019.49,2026-08-03
0x204078cfb9e42659877cac5b0772f74644786f89,72637.07,2026-08-03
0x8cd583a3b36ee6aee02f72e9223c779a9a73fb26,72311.16,2026-08-03
0xb2ec92678eaa141c7ccc966a904ba57a54c9e12d,71480.78,2026-08-03
0x1cc51a632133c8e15295214cebc2aba2621015c1,69158.09,2026-08-03
0xfb3310ad84fae19df4d3e0854903ed30d7267a1d,65075.76,2026-08-03
0xc8f12f46952a2f3e77b1e2de58082b231582eb39,64791.59,2026-08-03
0xa6d44d25f22115e7b88646c5acaf0370753eb1e9,64577.36,2026-08-03
0x140f9f6f139d7b158342f6c711fc2fc4d9802781,60146.71,2026-08-03
0x8cc1665ee965345e79b132adb124782bad8c78e0,58896.60,2026-08-03
0x73a1bb338613291ac6530870fe2c5d354bfec17e,57415.79,2026-08-03
0xe8270e58c8f4dc383e3b560268b8a9a396e27a5e,56835.54,2026-08-03
0xeedb1f57ee95bd9845e7bcd9c6b14c61f8eaba10,55862.09,2026-08-03
0xb1a86d28f3d48afcaed14bff189dd5f5fcc6f9ac,55455.04,2026-08-03
0x110178dbac958fe1cbf70dfc08a773f2136a962d,53500.00,2026-08-03
0xe44a08c0912c1a20eaa35bc113ef99a9e996c9fb,52768.10,2026-08-03
0xb5d3a71d74ca297d083d1395f6a5823eca6a1bfb,52059.22,2026-08-03
0xdacadddf821ce45523d0ca0ef14623894044647f,51344.31,2026-08-03
0xdc2d1ebaf4b0242b1a54e3ae7853f37d3775062a,50451.00,2026-08-03
0x19d13109deac5f3a997347da6d5e3e436de04a46,50039.27,2026-08-03
