owner,balance,day
12DY3NDNrepBYmRtSRD5q78Q7TZEDkeEcJ2GLFKGtDak,10529.652746150000000000,2026-07-01 00:00:00.000 UTC
12DY3NDNrepBYmRtSRD5q78Q7TZEDkeEcJ2GLFKGtDak,10432.560097560000000000,2026-07-07 00:00:00.000 UTC
12DY3NDNrepBYmRtSRD5q78Q7TZEDkeEcJ2GLFKGtDak,10032.560097560000000000,2026-07-12 00:00:00.000 UTC
12DY3NDNrepBYmRtSRD5q78Q7TZEDkeEcJ2GLFKGtDak,8032.560097560000000000,2026-07-14 00:00:00.000 UTC
12DY3NDNrepBYmRtSRD5q78Q7TZEDkeEcJ2GLFKGtDak,10511.981668740000000000,2026-07-18 00:00:00.000 UTC
12DY3NDNrepBYmRtSRD5q78Q7TZEDkeEcJ2GLFKGtDak,10481.981668740000000000,2026-07-19 00:00:00.000 UTC
12DY3NDNrepBYmRtSRD5q78Q7TZEDkeEcJ2GLFKGtDak,5981.981668740000000000,2026-07-20 00:00:00.000 UTC
12DY3NDNrepBYmRtSRD5q78Q7TZEDkeEcJ2GLFKGtDak,7542.908757020000000000,2026-07-22 00:00:00.000 UTC
12DY3NDNrepBYmRtSRD5q78Q7TZEDkeEcJ2GLFKGtDak,6043.432343700000000000,2026-07-24 00:00:00.000 UTC
12DY3NDNrepBYmRtSRD5q78Q7TZEDkeEcJ2GLFKGtDak,6114.815546320000000000,2026-07-29 00:00:00.000 UTC
12DY3NDNrepBYmRtSRD5q78Q7TZEDkeEcJ2GLFKGtDak,5724.815546320000000000,2026-07-31 00:00:00.000 UTC
12evwVAGCFPxydRQ5BGN8dfRVSpCJVa7CyndgCa47txv,5588.765338390000000000,2026-04-18 00:00:00.000 UTC
14AmD8KARS3rXiiZ72Ks6KePJggEKAbMUvReZJCm8HQw,36723.375168680000000000,2026-01-01 00:00:00.000 UTC
14AmD8KARS3rXiiZ72Ks6KePJggEKAbMUvReZJCm8HQw,35200.000000000000000000,2026-01-02 00:00:00.000 UTC
14AmD8KARS3rXiiZ72Ks6KePJggEKAbMUvReZJCm8HQw,38974.345682310000000000,2026-01-03 00:00:00.000 UTC
14AmD8KARS3rXiiZ72Ks6KePJggEKAbMUvReZJCm8HQw,37500.000000000000000000,2026-01-04 00:00:00.000 UTC
14AmD8KARS3rXiiZ72Ks6KePJggEKAbMUvReZJCm8HQw,36000.000000000000000000,2026-01-05 00:00:00.000 UTC
14AmD8KARS3rXiiZ72Ks6KePJggEKAbMUvReZJCm8HQw,34500.000000000000000000,2026-01-06 00:00:00.000 UTC
14AmD8KARS3rXiiZ72Ks6KePJggEKAbMUvReZJCm8HQw,30000.000000000000000000,2026-01-07 00:00:00.000 UTC
14AmD8KARS3rXiiZ72Ks6KePJggEKAbMUvReZJCm8HQw,28000.000000000000000000,2026-01-08 00:00:00.000 UTC
